"","Week","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"65",11,116.016302105638,131.146191237628,141.187719033042,107.665067797864,88.8638927039568,104.37517234817,102.29799043589,128.724541400435,102.374245026685,114.220389125348,99.2554433671383,107.712289700594,107.669277729898,115.813692441405,113.263524299954,118.271021422279,115.101458083897,100.201153435729,103.168460279752,97.7451969610438,98.7072985095223,0,103.491314307011
"66",12,117.622111873852,135.585385498129,142.417532688021,108.081549960444,88.927755468256,104.151629377017,103.273047849772,129.39992809687,110.268756202893,115.163571447009,97.3884081530632,108.032460811288,108.502800368162,115.885993934292,112.737949318432,120.299724333107,115.948320148032,100.249158552832,103.333049246672,100.025045649791,98.7909262648375,0,110.762397137757
"67",13,117.627866834028,131.938744302914,140.835505558236,109.004277203978,89.1389178551603,104.53191293468,104.13878306549,131.341326073063,108.56363121758,115.255126951778,96.5386976083209,108.461857986162,109.217236801469,115.959776103899,114.039228413943,121.582145256687,116.785762893869,100.891560942859,104.285207968875,101.089557973417,99.126117988593,0,121.731133806294
"68",14,117.633621794203,128.292103107699,139.25347842845,109.927004447512,89.3500802420646,104.912196492344,105.004518281207,133.282724049255,106.858506232267,115.346682456546,95.6889870635786,108.891255161035,109.931673234775,116.033558273507,115.340507509454,122.864566180267,117.623205639706,101.533963332886,105.237366691078,102.154070297044,99.4613097123486,0,132.699870474832
"69",15,117.639376754378,124.645461912484,137.671451298665,110.849731691046,89.5612426289689,105.292480050007,105.870253496924,135.224122025447,105.153381246954,115.438237961315,94.8392765188363,109.320652335909,110.646109668082,116.107340443114,116.641786604965,124.146987103847,118.460648385544,102.176365722912,106.189525413281,103.218582620671,99.7965014361041,0,143.66860714337
"70",16,117.645131714553,120.998820717269,136.089424168879,111.77245893458,89.7724050158733,105.67276360767,106.735988712642,137.165520001639,103.448256261641,115.529793466083,93.989565974094,109.750049510782,111.360546101388,116.181122612722,117.943065700476,125.429408027427,119.298091131381,102.818768112939,107.141684135484,104.283094944297,100.13169315986,0,154.637343811908
"71",17,117.650886674728,117.352179522054,134.507397039094,112.695186178114,89.9835674027776,106.053047165334,107.601723928359,139.106917977831,101.743131276327,115.621348970852,93.1398554293517,110.179446685656,112.074982534695,116.254904782329,119.244344795986,126.711828951007,120.135533877218,103.461170502965,108.093842857687,105.347607267924,100.466884883615,0,165.606080480446
"72",18,118.973271161499,115.042332225747,141.533121762445,112.942471591739,90.1634788697852,106.118943939384,107.501737351413,130.664408906487,102.324728215599,116.592316893077,92.501146903164,110.15139590691,111.437150356298,117.5241154868,118.272752350571,124.680348545213,119.764396375932,103.743816652515,106.099071684589,106.07037271621,99.8808972252899,0,149.235642646351
"73",19,120.295655648269,112.732484929439,148.558846485797,113.189757005364,90.3433903367928,106.184840713434,107.401750774468,122.221899835144,102.906325154871,117.563284815302,91.8624383769763,110.123345128164,110.7993181779,118.79332619127,117.301159905155,122.648868139419,119.393258874646,104.026462802065,104.104300511491,106.793138164497,99.2949095669645,0,132.865204812256
"74",20,121.618040135039,110.422637633131,155.584571209149,113.437042418989,90.5233018038004,106.250737487484,107.301764197522,113.779390763801,103.487922094142,118.534252737526,91.2237298507885,110.095294349419,110.161485999503,120.06253689574,116.329567459739,120.617387733625,119.022121373361,104.309108951615,102.109529338393,107.515903612784,98.7089219086392,0,116.494766978161
"75",21,122.940424621809,108.112790336823,162.610295932501,113.684327832614,90.703213270808,106.316634261534,107.201777620576,105.336881692457,104.069519033414,119.505220659751,90.5850213246008,110.067243570673,109.523653821106,121.331747600211,115.357975014324,118.58590732783,118.650983872075,104.591755101164,100.114758165295,108.23866906107,98.1229342503138,0,100.124329144067
"76",22,122.180377683571,110.002491770682,159.435928331805,113.590761461142,90.4051448388479,107.221597655723,107.649246992092,111.126878710008,106.703939648742,118.00441140141,90.4147193318773,109.571567919753,109.861790800767,120.45638900951,115.295882254489,116.9045206219,117.128367359027,103.860593580392,100.154571563879,106.144789018157,98.5252083762676,0,105.705218160552
"77",23,121.420330745333,111.89219320454,156.26156073111,113.497195089671,90.1070764068879,108.126561049913,108.096716363608,116.916875727559,109.338360264069,116.503602143068,90.2444173391538,109.075892268833,110.199927780428,119.581030418808,115.233789494655,115.22313391597,115.605750845979,103.129432059619,100.194384962463,104.050908975243,98.9274825022214,0,111.286107177037
"78",24,120.660283807095,113.781894638398,153.087193130415,113.4036287182,89.8090079749278,109.031524444103,108.544185735123,122.70687274511,111.972780879397,115.002792884727,90.0741153464303,108.580216617913,110.538064760089,118.705671828107,115.171696734821,113.541747210039,114.083134332931,102.398270538846,100.234198361047,101.95702893233,99.3297566281752,0,116.866996193523
"79",25,119.900236868857,115.671596072256,149.912825529719,113.310062346729,89.5109395429677,109.936487838292,108.991655106639,128.496869762661,114.607201494725,113.501983626385,89.9038133537068,108.084540966994,110.87620173975,117.830313237406,115.109603974987,111.860360504109,112.560517819884,101.667109018074,100.274011759631,99.8631488894165,99.732030754129,0,122.447885210008
"80",26,118.677304517651,114.141283304664,157.175005311335,113.675165611743,89.3080516891814,109.59856626154,108.431673173611,128.300645807256,110.825857683245,113.534281134499,89.5865605034938,108.418586199533,111.007529490468,115.570405684443,114.70619357766,110.834598740101,111.833124065545,101.118266304606,100.677318284625,143.353263435907,99.9952647616845,0,118.716931417903
"81",27,117.454372166445,112.610970537073,164.437185092951,114.040268876757,89.1051638353952,109.260644684788,107.871691240584,128.10442185185,107.044513871766,113.566578642613,89.2693076532808,108.752631432072,111.138857241186,113.310498131479,114.302783180334,109.808836976093,111.105730311206,100.569423591138,101.080624809618,186.843377982397,100.25849876924,0,114.985977625797
